日期,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,年星,年星五行,月星,月星五行,日星,日星五行
2025-07-19,,乙巳,陰木陰火,辛未,陰金陰土,己丑,陰土陰土,二黑,土,六白,金,二黑,土
2025-07-20,,乙巳,陰木陰火,辛未,陰金陰土,庚寅,陽金陽木,二黑,土,六白,金,一白,水
2025-07-21,,乙巳,陰木陰火,辛未,陰金陰土,辛卯,陰金陰木,二黑,土,六白,金,九紫,火
2025-07-22,,乙巳,陰木陰火,辛未,陰金陰土,壬辰,陽水陽土,二黑,土,六白,金,八白,土
2025-07-23,大暑,乙巳,陰木陰火,辛未,陰金陰土,癸巳,陰水陰火,二黑,土,六白,金,七赤,金
2025-07-24,,乙巳,陰木陰火,辛未,陰金陰土,甲午,陽木陽火,二黑,土,六白,金,六白,金
2025-07-25,,乙巳,陰木陰火,辛未,陰金陰土,乙未,陰木陰土,二黑,土,六白,金,五黃,土
2025-07-26,,乙巳,陰木陰火,辛未,陰金陰土,丙申,陽火陽金,二黑,土,六白,金,四綠,木
2025-07-27,,乙巳,陰木陰火,辛未,陰金陰土,丁酉,陰火陰金,二黑,土,六白,金,三碧,木
2025-07-28,,乙巳,陰木陰火,辛未,陰金陰土,戊戌,陽土陽土,二黑,土,六白,金,二黑,土
2025-07-29,,乙巳,陰木陰火,辛未,陰金陰土,己亥,陰土陰水,二黑,土,六白,金,一白,水
2025-07-30,,乙巳,陰木陰火,辛未,陰金陰土,庚子,陽金陽水,二黑,土,六白,金,九紫,火
2025-07-31,,乙巳,陰木陰火,辛未,陰金陰土,辛丑,陰金陰土,二黑,土,六白,金,八白,土
2025-08-01,,乙巳,陰木陰火,辛未,陰金陰土,壬寅,陽水陽木,二黑,土,六白,金,七赤,金
2025-08-02,,乙巳,陰木陰火,辛未,陰金陰土,癸卯,陰水陰木,二黑,土,六白,金,六白,金
2025-08-03,,乙巳,陰木陰火,辛未,陰金陰土,甲辰,陽木陽土,二黑,土,六白,金,五黃,土
2025-08-04,,乙巳,陰木陰火,辛未,陰金陰土,乙巳,陰木陰火,二黑,土,六白,金,四綠,木
2025-08-05,,乙巳,陰木陰火,辛未,陰金陰土,丙午,陽火陽火,二黑,土,六白,金,三碧,木
2025-08-06,,乙巳,陰木陰火,辛未,陰金陰土,丁未,陰火陰土,二黑,土,六白,金,二黑,土
2025-08-07,,乙巳,陰木陰火,辛未,陰金陰土,戊申,陽土陽金,二黑,土,六白,金,一白,水
2025-08-08,立秋,乙巳,陰木陰火,壬申,陽水陽金,己酉,陰土陰金,二黑,土,五黃,土,九紫,火
2025-08-09,,乙巳,陰木陰火,壬申,陽水陽金,庚戌,陽金陽土,二黑,土,五黃,土,八白,土
2025-08-10,,乙巳,陰木陰火,壬申,陽水陽金,辛亥,陰金陰水,二黑,土,五黃,土,七赤,金
2025-08-11,,乙巳,陰木陰火,壬申,陽水陽金,壬子,陽水陽水,二黑,土,五黃,土,六白,金
2025-08-12,,乙巳,陰木陰火,壬申,陽水陽金,癸丑,陰水陰土,二黑,土,五黃,土,五黃,土
2025-08-13,,乙巳,陰木陰火,壬申,陽水陽金,甲寅,陽木陽木,二黑,土,五黃,土,四綠,木
2025-08-14,,乙巳,陰木陰火,壬申,陽水陽金,乙卯,陰木陰木,二黑,土,五黃,土,三碧,木
2025-08-15,,乙巳,陰木陰火,壬申,陽水陽金,丙辰,陽火陽土,二黑,土,五黃,土,二黑,土
2025-08-16,,乙巳,陰木陰火,壬申,陽水陽金,丁巳,陰火陰火,二黑,土,五黃,土,一白,水
2025-08-17,,乙巳,陰木陰火,壬申,陽水陽金,戊午,陽土陽火,二黑,土,五黃,土,九紫,火
2025-08-18,,乙巳,陰木陰火,壬申,陽水陽金,己未,陰土陰土,二黑,土,五黃,土,八白,土
2025-08-19,,乙巳,陰木陰火,壬申,陽水陽金,庚申,陽金陽金,二黑,土,五黃,土,七赤,金
2025-08-20,,乙巳,陰木陰火,壬申,陽水陽金,辛酉,陰金陰金,二黑,土,五黃,土,六白,金
2025-08-21,,乙巳,陰木陰火,壬申,陽水陽金,壬戌,陽水陽土,二黑,土,五黃,土,五黃,土
2025-08-22,,乙巳,陰木陰火,壬申,陽水陽金,癸亥,陰水陰水,二黑,土,五黃,土,四綠,木
2025-08-23,,乙巳,陰木陰火,壬申,陽水陽金,甲子,陽木陽水,二黑,土,五黃,土,三碧,木
2025-08-24,處暑,乙巳,陰木陰火,壬申,陽水陽金,乙丑,陰木陰土,二黑,土,五黃,土,二黑,土
2025-08-25,,乙巳,陰木陰火,壬申,陽水陽金,丙寅,陽火陽木,二黑,土,五黃,土,一白,水
2025-08-26,,乙巳,陰木陰火,壬申,陽水陽金,丁卯,陰火陰木,二黑,土,五黃,土,九紫,火
2025-08-27,,乙巳,陰木陰火,壬申,陽水陽金,戊辰,陽土陽土,二黑,土,五黃,土,八白,土
2025-08-28,,乙巳,陰木陰火,壬申,陽水陽金,己巳,陰土陰火,二黑,土,五黃,土,七赤,金
2025-08-29,,乙巳,陰木陰火,壬申,陽水陽金,庚午,陽金陽火,二黑,土,五黃,土,六白,金
2025-08-30,,乙巳,陰木陰火,壬申,陽水陽金,辛未,陰金陰土,二黑,土,五黃,土,五黃,土
2025-08-31,,乙巳,陰木陰火,壬申,陽水陽金,壬申,陽水陽金,二黑,土,五黃,土,四綠,木
2025-09-01,,乙巳,陰木陰火,壬申,陽水陽金,癸酉,陰水陰金,二黑,土,五黃,土,三碧,木
2025-09-02,,乙巳,陰木陰火,壬申,陽水陽金,甲戌,陽木陽土,二黑,土,五黃,土,二黑,土
2025-09-03,,乙巳,陰木陰火,壬申,陽水陽金,乙亥,陰木陰水,二黑,土,五黃,土,一白,水
2025-09-04,,乙巳,陰木陰火,壬申,陽水陽金,丙子,陽火陽水,二黑,土,五黃,土,九紫,火
2025-09-05,,乙巳,陰木陰火,壬申,陽水陽金,丁丑,陰火陰土,二黑,土,五黃,土,八白,土
2025-09-06,,乙巳,陰木陰火,壬申,陽水陽金,戊寅,陽土陽木,二黑,土,五黃,土,七赤,金
2025-09-07,,乙巳,陰木陰火,壬申,陽水陽金,己卯,陰土陰木,二黑,土,五黃,土,六白,金
2025-09-08,白露,乙巳,陰木陰火,癸酉,陰水陰金,庚辰,陽金陽土,二黑,土,四綠,木,五黃,土
2025-09-09,,乙巳,陰木陰火,癸酉,陰水陰金,辛巳,陰金陰火,二黑,土,四綠,木,四綠,木
2025-09-10,,乙巳,陰木陰火,癸酉,陰水陰金,壬午,陽水陽火,二黑,土,四綠,木,三碧,木
2025-09-11,,乙巳,陰木陰火,癸酉,陰水陰金,癸未,陰水陰土,二黑,土,四綠,木,二黑,土
2025-09-12,,乙巳,陰木陰火,癸酉,陰水陰金,甲申,陽木陽金,二黑,土,四綠,木,一白,水
2025-09-13,,乙巳,陰木陰火,癸酉,陰水陰金,乙酉,陰木陰金,二黑,土,四綠,木,九紫,火
2025-09-14,,乙巳,陰木陰火,癸酉,陰水陰金,丙戌,陽火陽土,二黑,土,四綠,木,八白,土
2025-09-15,,乙巳,陰木陰火,癸酉,陰水陰金,丁亥,陰火陰水,二黑,土,四綠,木,七赤,金
2025-09-16,,乙巳,陰木陰火,癸酉,陰水陰金,戊子,陽土陽水,二黑,土,四綠,木,六白,金
2025-09-17,,乙巳,陰木陰火,癸酉,陰水陰金,己丑,陰土陰土,二黑,土,四綠,木,五黃,土
2025-09-18,,乙巳,陰木陰火,癸酉,陰水陰金,庚寅,陽金陽木,二黑,土,四綠,木,四綠,木
2025-09-19,,乙巳,陰木陰火,癸酉,陰水陰金,辛卯,陰金陰木,二黑,土,四綠,木,三碧,木
2025-09-20,,乙巳,陰木陰火,癸酉,陰水陰金,壬辰,陽水陽土,二黑,土,四綠,木,二黑,土
2025-09-21,,乙巳,陰木陰火,癸酉,陰水陰金,癸巳,陰水陰火,二黑,土,四綠,木,一白,水
2025-09-22,,乙巳,陰木陰火,癸酉,陰水陰金,甲午,陽木陽火,二黑,土,四綠,木,九紫,火
2025-09-23,秋分,乙巳,陰木陰火,癸酉,陰水陰金,乙未,陰木陰土,二黑,土,四綠,木,八白,土
2025-09-24,,乙巳,陰木陰火,癸酉,陰水陰金,丙申,陽火陽金,二黑,土,四綠,木,七赤,金
2025-09-25,,乙巳,陰木陰火,癸酉,陰水陰金,丁酉,陰火陰金,二黑,土,四綠,木,六白,金
2025-09-26,,乙巳,陰木陰火,癸酉,陰水陰金,戊戌,陽土陽土,二黑,土,四綠,木,五黃,土
2025-09-27,,乙巳,陰木陰火,癸酉,陰水陰金,己亥,陰土陰水,二黑,土,四綠,木,四綠,木
2025-09-28,,乙巳,陰木陰火,癸酉,陰水陰金,庚子,陽金陽水,二黑,土,四綠,木,三碧,木
2025-09-29,,乙巳,陰木陰火,癸酉,陰水陰金,辛丑,陰金陰土,二黑,土,四綠,木,二黑,土
2025-09-30,,乙巳,陰木陰火,癸酉,陰水陰金,壬寅,陽水陽木,二黑,土,四綠,木,一白,水
2025-10-01,,乙巳,陰木陰火,癸酉,陰水陰金,癸卯,陰水陰木,二黑,土,四綠,木,九紫,火
2025-10-02,,乙巳,陰木陰火,癸酉,陰水陰金,甲辰,陽木陽土,二黑,土,四綠,木,八白,土
2025-10-03,,乙巳,陰木陰火,癸酉,陰水陰金,乙巳,陰木陰火,二黑,土,四綠,木,七赤,金
2025-10-04,,乙巳,陰木陰火,癸酉,陰水陰金,丙午,陽火陽火,二黑,土,四綠,木,六白,金
2025-10-05,,乙巳,陰木陰火,癸酉,陰水陰金,丁未,陰火陰土,二黑,土,四綠,木,五黃,土
2025-10-06,,乙巳,陰木陰火,癸酉,陰水陰金,戊申,陽土陽金,二黑,土,四綠,木,四綠,木
2025-10-07,,乙巳,陰木陰火,癸酉,陰水陰金,己酉,陰土陰金,二黑,土,四綠,木,三碧,木
2025-10-08,,乙巳,陰木陰火,癸酉,陰水陰金,庚戌,陽金陽土,二黑,土,四綠,木,二黑,土
2025-10-09,寒露,乙巳,陰木陰火,甲戌,陽木陽土,辛亥,陰金陰水,二黑,土,三碧,木,一白,水
2025-10-10,,乙巳,陰木陰火,甲戌,陽木陽土,壬子,陽水陽水,二黑,土,三碧,木,九紫,火
2025-10-11,,乙巳,陰木陰火,甲戌,陽木陽土,癸丑,陰水陰土,二黑,土,三碧,木,八白,土
2025-10-12,,乙巳,陰木陰火,甲戌,陽木陽土,甲寅,陽木陽木,二黑,土,三碧,木,七赤,金
2025-10-13,,乙巳,陰木陰火,甲戌,陽木陽土,乙卯,陰木陰木,二黑,土,三碧,木,六白,金
2025-10-14,,乙巳,陰木陰火,甲戌,陽木陽土,丙辰,陽火陽土,二黑,土,三碧,木,五黃,土
2025-10-15,,乙巳,陰木陰火,甲戌,陽木陽土,丁巳,陰火陰火,二黑,土,三碧,木,四綠,木
2025-10-16,,乙巳,陰木陰火,甲戌,陽木陽土,戊午,陽土陽火,二黑,土,三碧,木,三碧,木
2025-10-17,,乙巳,陰木陰火,甲戌,陽木陽土,己未,陰土陰土,二黑,土,三碧,木,二黑,土
2025-10-18,,乙巳,陰木陰火,甲戌,陽木陽土,庚申,陽金陽金,二黑,土,三碧,木,一白,水
2025-10-19,,乙巳,陰木陰火,甲戌,陽木陽土,辛酉,陰金陰金,二黑,土,三碧,木,九紫,火
2025-10-20,,乙巳,陰木陰火,甲戌,陽木陽土,壬戌,陽水陽土,二黑,土,三碧,木,八白,土
2025-10-21,,乙巳,陰木陰火,甲戌,陽木陽土,癸亥,陰水陰水,二黑,土,三碧,木,七赤,金
2025-10-22,,乙巳,陰木陰火,甲戌,陽木陽土,甲子,陽木陽水,二黑,土,三碧,木,六白,金
2025-10-23,,乙巳,陰木陰火,甲戌,陽木陽土,乙丑,陰木陰土,二黑,土,三碧,木,五黃,土
2025-10-24,霜降,乙巳,陰木陰火,甲戌,陽木陽土,丙寅,陽火陽木,二黑,土,三碧,木,四綠,木
2025-10-25,,乙巳,陰木陰火,甲戌,陽木陽土,丁卯,陰火陰木,二黑,土,三碧,木,三碧,木
2025-10-26,,乙巳,陰木陰火,甲戌,陽木陽土,戊辰,陽土陽土,二黑,土,三碧,木,二黑,土
2025-10-27,,乙巳,陰木陰火,甲戌,陽木陽土,己巳,陰土陰火,二黑,土,三碧,木,一白,水
2025-10-28,,乙巳,陰木陰火,甲戌,陽木陽土,庚午,陽金陽火,二黑,土,三碧,木,九紫,火
2025-10-29,,乙巳,陰木陰火,甲戌,陽木陽土,辛未,陰金陰土,二黑,土,三碧,木,八白,土
2025-10-30,,乙巳,陰木陰火,甲戌,陽木陽土,壬申,陽水陽金,二黑,土,三碧,木,七赤,金
2025-10-31,,乙巳,陰木陰火,甲戌,陽木陽土,癸酉,陰水陰金,二黑,土,三碧,木,六白,金
2025-11-01,,乙巳,陰木陰火,甲戌,陽木陽土,甲戌,陽木陽土,二黑,土,三碧,木,五黃,土
2025-11-02,,乙巳,陰木陰火,甲戌,陽木陽土,乙亥,陰木陰水,二黑,土,三碧,木,四綠,木
2025-11-03,,乙巳,陰木陰火,甲戌,陽木陽土,丙子,陽火陽水,二黑,土,三碧,木,三碧,木
2025-11-04,,乙巳,陰木陰火,甲戌,陽木陽土,丁丑,陰火陰土,二黑,土,三碧,木,二黑,土
2025-11-05,,乙巳,陰木陰火,甲戌,陽木陽土,戊寅,陽土陽木,二黑,土,三碧,木,一白,水
2025-11-06,,乙巳,陰木陰火,甲戌,陽木陽土,己卯,陰土陰木,二黑,土,三碧,木,九紫,火
2025-11-07,,乙巳,陰木陰火,甲戌,陽木陽土,庚辰,陽金陽土,二黑,土,三碧,木,八白,土
2025-11-08,立冬,乙巳,陰木陰火,乙亥,陰木陰水,辛巳,陰金陰火,二黑,土,二黑,土,七赤,金
2025-11-09,,乙巳,陰木陰火,乙亥,陰木陰水,壬午,陽水陽火,二黑,土,二黑,土,六白,金
2025-11-10,,乙巳,陰木陰火,乙亥,陰木陰水,癸未,陰水陰土,二黑,土,二黑,土,五黃,土
2025-11-11,,乙巳,陰木陰火,乙亥,陰木陰水,甲申,陽木陽金,二黑,土,二黑,土,四綠,木
2025-11-12,,乙巳,陰木陰火,乙亥,陰木陰水,乙酉,陰木陰金,二黑,土,二黑,土,三碧,木
2025-11-13,,乙巳,陰木陰火,乙亥,陰木陰水,丙戌,陽火陽土,二黑,土,二黑,土,二黑,土
2025-11-14,,乙巳,陰木陰火,乙亥,陰木陰水,丁亥,陰火陰水,二黑,土,二黑,土,一白,水
2025-11-15,,乙巳,陰木陰火,乙亥,陰木陰水,戊子,陽土陽水,二黑,土,二黑,土,九紫,火
2025-11-16,,乙巳,陰木陰火,乙亥,陰木陰水,己丑,陰土陰土,二黑,土,二黑,土,八白,土
2025-11-17,,乙巳,陰木陰火,乙亥,陰木陰水,庚寅,陽金陽木,二黑,土,二黑,土,七赤,金
2025-11-18,,乙巳,陰木陰火,乙亥,陰木陰水,辛卯,陰金陰木,二黑,土,二黑,土,六白,金
2025-11-19,,乙巳,陰木陰火,乙亥,陰木陰水,壬辰,陽水陽土,二黑,土,二黑,土,五黃,土
2025-11-20,,乙巳,陰木陰火,乙亥,陰木陰水,癸巳,陰水陰火,二黑,土,二黑,土,四綠,木
2025-11-21,,乙巳,陰木陰火,乙亥,陰木陰水,甲午,陽木陽火,二黑,土,二黑,土,三碧,木
2025-11-22,,乙巳,陰木陰火,乙亥,陰木陰水,乙未,陰木陰土,二黑,土,二黑,土,二黑,土
2025-11-23,小雪,乙巳,陰木陰火,乙亥,陰木陰水,丙申,陽火陽金,二黑,土,二黑,土,一白,水
2025-11-24,,乙巳,陰木陰火,乙亥,陰木陰水,丁酉,陰火陰金,二黑,土,二黑,土,九紫,火
2025-11-25,,乙巳,陰木陰火,乙亥,陰木陰水,戊戌,陽土陽土,二黑,土,二黑,土,八白,土
2025-11-26,,乙巳,陰木陰火,乙亥,陰木陰水,己亥,陰土陰水,二黑,土,二黑,土,七赤,金
2025-11-27,,乙巳,陰木陰火,乙亥,陰木陰水,庚子,陽金陽水,二黑,土,二黑,土,六白,金
2025-11-28,,乙巳,陰木陰火,乙亥,陰木陰水,辛丑,陰金陰土,二黑,土,二黑,土,五黃,土
2025-11-29,,乙巳,陰木陰火,乙亥,陰木陰水,壬寅,陽水陽木,二黑,土,二黑,土,四綠,木
2025-11-30,,乙巳,陰木陰火,乙亥,陰木陰水,癸卯,陰水陰木,二黑,土,二黑,土,三碧,木
2025-12-01,,乙巳,陰木陰火,乙亥,陰木陰水,甲辰,陽木陽土,二黑,土,二黑,土,二黑,土
2025-12-02,,乙巳,陰木陰火,乙亥,陰木陰水,乙巳,陰木陰火,二黑,土,二黑,土,一白,水
2025-12-03,,乙巳,陰木陰火,乙亥,陰木陰水,丙午,陽火陽火,二黑,土,二黑,土,九紫,火
2025-12-04,,乙巳,陰木陰火,乙亥,陰木陰水,丁未,陰火陰土,二黑,土,二黑,土,八白,土
2025-12-05,,乙巳,陰木陰火,乙亥,陰木陰水,戊申,陽土陽金,二黑,土,二黑,土,七赤,金
2025-12-06,,乙巳,陰木陰火,乙亥,陰木陰水,己酉,陰土陰金,二黑,土,二黑,土,六白,金
2025-12-07,,乙巳,陰木陰火,乙亥,陰木陰水,庚戌,陽金陽土,二黑,土,二黑,土,五黃,土
2025-12-08,大雪,乙巳,陰木陰火,丙子,陽火陽水,辛亥,陰金陰水,二黑,土,一白,水,四綠,木
2025-12-09,,乙巳,陰木陰火,丙子,陽火陽水,壬子,陽水陽水,二黑,土,一白,水,三碧,木
2025-12-10,,乙巳,陰木陰火,丙子,陽火陽水,癸丑,陰水陰土,二黑,土,一白,水,二黑,土
2025-12-11,,乙巳,陰木陰火,丙子,陽火陽水,甲寅,陽木陽木,二黑,土,一白,水,一白,水
2025-12-12,,乙巳,陰木陰火,丙子,陽火陽水,乙卯,陰木陰木,二黑,土,一白,水,九紫,火
2025-12-13,,乙巳,陰木陰火,丙子,陽火陽水,丙辰,陽火陽土,二黑,土,一白,水,八白,土
2025-12-14,,乙巳,陰木陰火,丙子,陽火陽水,丁巳,陰火陰火,二黑,土,一白,水,七赤,金
2025-12-15,,乙巳,陰木陰火,丙子,陽火陽水,戊午,陽土陽火,二黑,土,一白,水,六白,金
2025-12-16,,乙巳,陰木陰火,丙子,陽火陽水,己未,陰土陰土,二黑,土,一白,水,五黃,土
2025-12-17,,乙巳,陰木陰火,丙子,陽火陽水,庚申,陽金陽金,二黑,土,一白,水,四綠,木
2025-12-18,,乙巳,陰木陰火,丙子,陽火陽水,辛酉,陰金陰金,二黑,土,一白,水,三碧,木
2025-12-19,,乙巳,陰木陰火,丙子,陽火陽水,壬戌,陽水陽土,二黑,土,一白,水,二黑,土
2025-12-20,,乙巳,陰木陰火,丙子,陽火陽水,癸亥,陰水陰水,二黑,土,一白,水,一白,水
2025-12-21,,乙巳,陰木陰火,丙子,陽火陽水,甲子,陽木陽水,二黑,土,一白,水,九紫,火
2025-12-22,冬至,乙巳,陰木陰火,丙子,陽火陽水,乙丑,陰木陰土,二黑,土,一白,水,二黑,土
2025-12-23,,乙巳,陰木陰火,丙子,陽火陽水,丙寅,陽火陽木,二黑,土,一白,水,三碧,木
2025-12-24,,乙巳,陰木陰火,丙子,陽火陽水,丁卯,陰火陰木,二黑,土,一白,水,四綠,木
2025-12-25,,乙巳,陰木陰火,丙子,陽火陽水,戊辰,陽土陽土,二黑,土,一白,水,五黃,土
2025-12-26,,乙巳,陰木陰火,丙子,陽火陽水,己巳,陰土陰火,二黑,土,一白,水,六白,金
2025-12-27,,乙巳,陰木陰火,丙子,陽火陽水,庚午,陽金陽火,二黑,土,一白,水,七赤,金
2025-12-28,,乙巳,陰木陰火,丙子,陽火陽水,辛未,陰金陰土,二黑,土,一白,水,八白,土
2025-12-29,,乙巳,陰木陰火,丙子,陽火陽水,壬申,陽水陽金,二黑,土,一白,水,九紫,火
2025-12-30,,乙巳,陰木陰火,丙子,陽火陽水,癸酉,陰水陰金,二黑,土,一白,水,一白,水
2025-12-31,,乙巳,陰木陰火,丙子,陽火陽水,甲戌,陽木陽土,二黑,土,一白,水,二黑,土
2026-01-01,,乙巳,陰木陰火,丙子,陽火陽水,乙亥,陰木陰水,二黑,土,一白,水,三碧,木
2026-01-02,,乙巳,陰木陰火,丙子,陽火陽水,丙子,陽火陽水,二黑,土,一白,水,四綠,木
2026-01-03,,乙巳,陰木陰火,丙子,陽火陽水,丁丑,陰火陰土,二黑,土,一白,水,五黃,土
2026-01-04,,乙巳,陰木陰火,丙子,陽火陽水,戊寅,陽土陽木,二黑,土,一白,水,六白,金
2026-01-05,,乙巳,陰木陰火,丙子,陽火陽水,己卯,陰土陰木,二黑,土,一白,水,七赤,金
2026-01-06,小寒,乙巳,陰木陰火,丁丑,陰火陰土,庚辰,陽金陽土,二黑,土,九紫,火,八白,土
2026-01-07,,乙巳,陰木陰火,丁丑,陰火陰土,辛巳,陰金陰火,二黑,土,九紫,火,九紫,火
2026-01-08,,乙巳,陰木陰火,丁丑,陰火陰土,壬午,陽水陽火,二黑,土,九紫,火,一白,水
2026-01-09,,乙巳,陰木陰火,丁丑,陰火陰土,癸未,陰水陰土,二黑,土,九紫,火,二黑,土
2026-01-10,,乙巳,陰木陰火,丁丑,陰火陰土,甲申,陽木陽金,二黑,土,九紫,火,三碧,木
2026-01-11,,乙巳,陰木陰火,丁丑,陰火陰土,乙酉,陰木陰金,二黑,土,九紫,火,四綠,木
2026-01-12,,乙巳,陰木陰火,丁丑,陰火陰土,丙戌,陽火陽土,二黑,土,九紫,火,五黃,土
2026-01-13,,乙巳,陰木陰火,丁丑,陰火陰土,丁亥,陰火陰水,二黑,土,九紫,火,六白,金
2026-01-14,,乙巳,陰木陰火,丁丑,陰火陰土,戊子,陽土陽水,二黑,土,九紫,火,七赤,金
2026-01-15,,乙巳,陰木陰火,丁丑,陰火陰土,己丑,陰土陰土,二黑,土,九紫,火,八白,土
2026-01-16,,乙巳,陰木陰火,丁丑,陰火陰土,庚寅,陽金陽木,二黑,土,九紫,火,九紫,火
2026-01-17,,乙巳,陰木陰火,丁丑,陰火陰土,辛卯,陰金陰木,二黑,土,九紫,火,一白,水
2026-01-18,,乙巳,陰木陰火,丁丑,陰火陰土,壬辰,陽水陽土,二黑,土,九紫,火,二黑,土
2026-01-19,,乙巳,陰木陰火,丁丑,陰火陰土,癸巳,陰水陰火,二黑,土,九紫,火,三碧,木
2026-01-20,,乙巳,陰木陰火,丁丑,陰火陰土,甲午,陽木陽火,二黑,土,九紫,火,四綠,木
2026-01-21,大寒,乙巳,陰木陰火,丁丑,陰火陰土,乙未,陰木陰土,二黑,土,九紫,火,五黃,土
2026-01-22,,乙巳,陰木陰火,丁丑,陰火陰土,丙申,陽火陽金,二黑,土,九紫,火,六白,金
2026-01-23,,乙巳,陰木陰火,丁丑,陰火陰土,丁酉,陰火陰金,二黑,土,九紫,火,七赤,金
2026-01-24,,乙巳,陰木陰火,丁丑,陰火陰土,戊戌,陽土陽土,二黑,土,九紫,火,八白,土
2026-01-25,,乙巳,陰木陰火,丁丑,陰火陰土,己亥,陰土陰水,二黑,土,九紫,火,九紫,火
2026-01-26,,乙巳,陰木陰火,丁丑,陰火陰土,庚子,陽金陽水,二黑,土,九紫,火,一白,水
2026-01-27,,乙巳,陰木陰火,丁丑,陰火陰土,辛丑,陰金陰土,二黑,土,九紫,火,二黑,土
2026-01-28,,乙巳,陰木陰火,丁丑,陰火陰土,壬寅,陽水陽木,二黑,土,九紫,火,三碧,木
2026-01-29,,乙巳,陰木陰火,丁丑,陰火陰土,癸卯,陰水陰木,二黑,土,九紫,火,四綠,木
2026-01-30,,乙巳,陰木陰火,丁丑,陰火陰土,甲辰,陽木陽土,二黑,土,九紫,火,五黃,土
2026-01-31,,乙巳,陰木陰火,丁丑,陰火陰土,乙巳,陰木陰火,二黑,土,九紫,火,六白,金
2026-02-01,,乙巳,陰木陰火,丁丑,陰火陰土,丙午,陽火陽火,二黑,土,九紫,火,七赤,金
2026-02-02,,乙巳,陰木陰火,丁丑,陰火陰土,丁未,陰火陰土,二黑,土,九紫,火,八白,土
2026-02-03,,乙巳,陰木陰火,丁丑,陰火陰土,戊申,陽土陽金,二黑,土,九紫,火,九紫,火
